id,lemma,pronunciation
2,ἀ,
3,ἀ,
4,ἆ,
10,ἀανές,
11,ἄανθα,
14,ἄας,
15,ἀασιφρονία,
16,ἀασιφροσύνη,
17,ἀασμός,
18,ἀάσπετος,
19,ἀατήρ,
28,ἀβάκιον,
29,ἀβακίσκος,/a.ba.kís.kos/
33,ἄβαλε,
35,ἄβαξ,/á.baks/
40,ἄβαρις,
51,Ἀβδηρίτης,/ab.dɛː.rǐː.tɛːs/
52,ἄβδης,
54,ἀβεβαιότης,
58,ἀβελτερία,
59,ἀβελτεροκόκκυξ,
61,ἀβηδών,
64,ἀβίβλης,
68,ἀβίυκτον,
71,ἀβλάβεια,
73,ἀβλαβία,
82,ἀβλέπτημα,
85,ἀβλεψία,
86,ἄβληρα,
87,ἀβλής,
93,ἀβοηθησία,
98,ἀβολαία,
100,ἀβολητύς,
101,ἀβολήτωρ,
102,ἀβόλλα,
105,Ἀβοριγῖνες,
115,ἀβουλία,/a.boː.lí.aː/
117,ἀβούτης,
118,ἅβρα,
119,ἀβραμίδιον,
120,ἀβραμίς,
121,ἀβραμύας,
127,ἁβροβάτης,
131,ἁβρόδαις,
132,ἁβροδίαιτα,
135,ἁβρόκαρπον,
136,ἁβροκόμης,
138,ἁβρομίτρης,
147,ἁβροσία,
149,ἁβροσύνη,
152,ἁβρότης,
154,ἀβροτίνη,
157,ἀβρότονον,
159,ἁβροχαίτης,
161,ἀβροχία,
165,ἁβροχίτων,
166,ἅβρυνα,
167,ἁβρυντής,
169,ἅβρωμα,
171,Ἄβρων,
172,ἀβρώς,
173,ἀβρωσία,
175,Ἄβυδος,/á.byː.dos/
178,ἀβύρβηλος,
180,ἀβυρτάκη,
186,ἀβώρ,
188,ἀγ,
190,ἄγα,
191,ἀγάασθαι,
196,ἀγαθίδιον,
198,ἀγαθίς,
199,ἀγαθογονία,
202,ἀγαθοδαιμονισταί,
204,ἀγαθοδαίμων,
205,ἀγαθοδοσία,
206,ἀγαθοδότης,
208,ἀγαθοεργασία,
210,ἀγαθοεργία,
212,ἀγαθοθέλεια,
216,ἀγαθοποίησις,
217,ἀγαθοποιία,
220,ἀγαθοσύμβουλος,
228,ἀγάθυνσις,
230,ἀγάθωμα,
231,ἀγαθωσύνη,/a.ɡa.tʰɔː.sý.nɛː/
237,ἀγακλυμένη,
240,ἀγαλακτία,
242,ἀγάλαξ,
243,ἀγαλλίαμα,
244,ἀγαλλίασις,/a.ɡal.lí.aː.sis/
246,ἀγαλλίς,
248,ἄγαλμα,/á.ɡal.ma/
249,ἀγαλματίας,
250,ἀγαλμάτιον,
251,ἀγαλματίτης,
252,ἀγαλματογλύφος,
255,ἀγαλματοποιί̈α,
256,ἀγαλματοποιικός,
257,ἀγαλματοποιός,
258,ἀγαλματουργία,
263,ἀγαλματοφώρας,
267,ἀγαλμοτυπεύς,
268,ἀγάλοχον,
269,ἄγαλσις,
271,Ἀγαμέμνων,/a.ɡa.mém.nɔːn/
272,ἀγαλμοονίδης,
275,ἀγαμία,
280,ἀγανάκτησις,/a.ɡa.nák.tɛː.sis/
288,ἀγανόρειος,
291,ἀγανοφροσύνη,
293,ἀγανῶπις,
298,ἀγάπη,/a.ɡá.pɛː/
299,ἀγάπημα,
300,ἀγαπήνωρ,
301,ἀγάπησις,
302,ἀγαπησμός,
306,ἀγαπώντως,
307,ἀγαρικόν,/a.ɡa.ri.kón/
308,ἀγαρράπτει,
309,ἄγαρρις,
312,ἄγασις,
313,ἄγασμα,
316,ἀγάστωρ,
317,ἀγασυλλίς,
318,ἀγάσυρτος,
321,ἀγαυρίαμα,
323,ἀγαύρισμα,
327,ἄγγαρα,
328,ἀγγαρεία,
329,ἀγγαρευτής,
331,ἀγγαρήιος,
332,ἄγγαρος,
334,ἀγγείδιον,
336,ἀγγεῖον,/aŋ.ɡêː.on/
337,ἀγγειοτομία,
339,ἀγγελία,/aŋ.ɡe.lí.aː/
343,ἀγγελιώτης,
345,ἄγγελμα,
346,ἄγγελος,/áŋ.ɡe.los/
347,ἀγγέλτειρα,
349,ἀγγοθήκη,
350,ἄγγος,/áŋ.ɡos/
351,ἄγγουρος,
352,ἀγγριστής,
353,ἄγγων,
357,ἄγεθλον,
358,ἄγει,
367,ἀγελαιοτροφία,
370,ἀγελαιών,
371,ἀγέλαοι,
373,ἀγελάρχης,
375,ἀγέλασμα,
380,ἀγελάτης,
381,ἀγελείη,
382,ἀγέλη,/a.ɡé.lɛː/
385,ἀγεληί̈ς,
387,ἀγελήτης,
388,ἀγελητρόφος,
389,ἀγέληφι,
391,ἀγελισμός,
393,ἄγελος,
395,ἄγεν,
397,ἀγένεια,
400,ἀγενησία,/a.ɡe.nɛː.sí.aː/
402,ἀγέννεια,
404,ἀγεννησία,/a.ɡen.nɛː.sí.aː/
406,ἀγεννία,
410,ἀγέρδα,
413,ἀγερμός,
414,ἀγερμοσύνη,
415,ἀγερσικύβηλις,
416,ἄγερσις,
417,ἀγέρτης,
418,ἀγερωπεῖ,
419,ἀγερωχία,
421,Ἀγεσίλαος,
422,ἀγέστρατος,
423,ἁγέτης,
424,ἀγευστία,
